ID,start_date,year,month,receiver_country,initiator_country,inclusion_criteria,inclusion_criteria_subcode,incident_type,receiver_region
19,2005-01-01,2005.0,1.0,Kazakhstan,Brazil,Non politicised attack<br>on political target(s),,Data theft,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,2005-01-01,2005.0,1.0,Kazakhstan,Brazil,Non politicised attack<br>on political target(s),,Hijacking with Misuse,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,2005-01-01,2005.0,1.0,United Arab Emirates,Brazil,Non politicised attack<br>on political target(s),,Data theft,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,2005-01-01,2005.0,1.0,United Arab Emirates,Brazil,Non politicised attack<br>on political target(s),,Hijacking with Misuse,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,2005-01-01,2005.0,1.0,India,Brazil,Non politicised attack<br>on political target(s),,Data theft,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,2005-01-01,2005.0,1.0,India,Brazil,Non politicised attack<br>on political target(s),,Hijacking with Misuse,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,2005-01-01,2005.0,1.0,Russia,Brazil,Non politicised attack<br>on political target(s),,Data theft,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,2005-01-01,2005.0,1.0,Russia,Brazil,Non politicised attack<br>on political target(s),,Hijacking with Misuse,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
20,2005-02-01,2005.0,2.0,Kyrgyzstan,Kyrgyzstan,Attack conducted by<br>non-state actors with political goals,,Disruption,"['ASIA', 'CENTAS', 'CSTO', 'SCS']"
20,2005-02-01,2005.0,2.0,Kyrgyzstan,Kyrgyzstan,Non politicised attack<br>on political target(s),,Disruption,"['ASIA', 'CENTAS', 'CSTO', 'SCS']"
21,2006-01-01,2006.0,1.0,Qatar,United States,Attack conducted by<br>a nation state,,Data theft,"['ASIA', 'MENA', 'MEA', 'GULFC']"
22,2006-01-01,2006.0,1.0,Russia,United States,Attack conducted by<br>a nation state,,Data theft,"['EUROPE', 'EASTEU', 'CSTO', 'SCO']"
23,2006-01-01,2006.0,1.0,United States,China,Attack conducted by<br>a nation state,,Data theft,"['NATO', 'NORTHAM']"
24,2006-01-01,2006.0,1.0,United States,China,Attack conducted by<br>a nation state,,Data theft,"['NATO', 'NORTHAM']"
24,2006-01-01,2006.0,1.0,United States,China,Non politicised attack<br>on political target(s),,Data theft,"['NATO', 'NORTHAM']"
25,2006-01-01,2006.0,1.0,United States,China,Attack conducted by<br>a nation state,,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,United States,China,Politicised attack<br>on political target(s),,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,Canada,China,Attack conducted by<br>a nation state,,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,Canada,China,Politicised attack<br>on political target(s),,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,"Korea, Republic of",China,Attack conducted by<br>a nation state,,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,"Korea, Republic of",China,Politicised attack<br>on political target(s),,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,Taiwan,China,Attack conducted by<br>a nation state,,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,Taiwan,China,Politicised attack<br>on political target(s),,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,Vietnam,China,Attack conducted by<br>a nation state,,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,Vietnam,China,Politicised attack<br>on political target(s),,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,Germany,China,Attack conducted by<br>a nation state,,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,Germany,China,Politicised attack<br>on political target(s),,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,India,China,Attack conducted by<br>a nation state,,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,India,China,Politicised attack<br>on political target(s),,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,Japan,China,Attack conducted by<br>a nation state,,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,Japan,China,Politicised attack<br>on political target(s),,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,United Kingdom,China,Attack conducted by<br>a nation state,,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,2006.0,1.0,United Kingdom,China,Politicised attack<br>on political target(s),,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
26,2006-01-01,2006.0,1.0,United States,China,Attack conducted by<br>non-state actors with political goals,Attack conducted by<br>a state-affiliated group,Data theft,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA', 'SCO', 'SCS', 'NEA', 'NORTHEU', 'MENA', 'MEA', 'GULFC']"
26,2006-01-01,2006.0,1.0,United States,China,Attack conducted by<br>non-state actors with political goals,,Data theft,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA', 'SCO', 'SCS', 'NEA', 'NORTHEU', 'MENA', 'MEA', 'GULFC']"
26,2006-01-01,2006.0,1.0,United States,China,Non politicised attack<br>on political target(s),Attack conducted by<br>a state-affiliated group,Data theft,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA', 'SCO', 'SCS', 'NEA', 'NORTHEU', 'MENA', 'MEA', 'GULFC']"
26,2006-01-01,2006.0,1.0,United States,China,Non politicised attack<br>on political target(s),,Data theft,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA', 'SCO', 'SCS', 'NEA', 'NORTHEU', 'MENA', 'MEA', 'GULFC']"
26,2006-01-01,2006.0,1.0,Brazil,China,Attack conducted by<br>non-state actors with political goals,Attack conducted by<br>a state-affiliated group,Data theft,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA', 'SCO', 'SCS', 'NEA', 'NORTHEU', 'MENA', 'MEA', 'GULFC']"
26,2006-01-01,2006.0,1.0,Brazil,China,Attack conducted by<br>non-state actors with political goals,,Data theft,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA', 'SCO', 'SCS', 'NEA', 'NORTHEU', 'MENA', 'MEA', 'GULFC']"
26,2006-01-01,2006.0,1.0,Brazil,China,Non politicised attack<br>on political target(s),Attack conducted by<br>a state-affiliated group,Data theft,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA', 'SCO', 'SCS', 'NEA', 'NORTHEU', 'MENA', 'MEA', 'GULFC']"
26,2006-01-01,2006.0,1.0,Brazil,China,Non politicised attack<br>on political target(s),,Data theft,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA', 'SCO', 'SCS', 'NEA', 'NORTHEU', 'MENA', 'MEA', 'GULFC']"
