ID,start_date,receiver_country,incident_type,initiator_country,initiator_category,initiator_name,receiver_region
316,2012-01-01,France,Hijacking without Misuse,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Magic Hound/APT35/Cobalt Gypsy,"['NATO', 'NORTHAM', 'ASIA', 'MENA', 'MEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'GULFC', 'NORTHEU', 'SCS', 'EASIA', 'NEA', 'SCO']"
316,2012-01-01,China,Data theft,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Magic Hound/APT35/Cobalt Gypsy,"['NATO', 'NORTHAM', 'ASIA', 'MENA', 'MEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'GULFC', 'NORTHEU', 'SCS', 'EASIA', 'NEA', 'SCO']"
316,2012-01-01,China,Hijacking without Misuse,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Magic Hound/APT35/Cobalt Gypsy,"['NATO', 'NORTHAM', 'ASIA', 'MENA', 'MEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'GULFC', 'NORTHEU', 'SCS', 'EASIA', 'NEA', 'SCO']"
317,2012-01-01,United States,Data theft,China,State,,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU']"
317,2012-01-01,Germany,Data theft,China,State,,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU']"
318,2012-01-01,Israel,Data theft & Doxing,Saudi Arabia,Individual hacker(s),OxOmar,"['ASIA', 'MENA', 'MEA']"
319,2012-01-01,United States,Data theft & Doxing,Unknown,Non-state-group,Anonymous,"['NATO', 'NORTHAM']"
320,2012-01-01,Syria,Data theft & Doxing,Unknown,Unknown - not attributed,,"['ASIA', 'MENA', 'MEA']"
321,2012-01-01,India,Data theft,China,Unknown - not attributed,,"['ASIA', 'SASIA', 'SCO']"
321,2012-01-01,India,Hijacking with Misuse,China,Unknown - not attributed,,"['ASIA', 'SASIA', 'SCO']"
322,2012-01-01,United States,Data theft,Lebanon,"Non-state actor, state-affiliation suggested",Volatile Ceder,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'ASIA', 'MEA', 'MENA']"
322,2012-01-01,United States,Hijacking with Misuse,Lebanon,"Non-state actor, state-affiliation suggested",Volatile Ceder,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'ASIA', 'MEA', 'MENA']"
322,2012-01-01,Canada,Data theft,Lebanon,"Non-state actor, state-affiliation suggested",Volatile Ceder,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'ASIA', 'MEA', 'MENA']"
322,2012-01-01,Canada,Hijacking with Misuse,Lebanon,"Non-state actor, state-affiliation suggested",Volatile Ceder,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'ASIA', 'MEA', 'MENA']"
322,2012-01-01,United Kingdom,Data theft,Lebanon,"Non-state actor, state-affiliation suggested",Volatile Ceder,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'ASIA', 'MEA', 'MENA']"
322,2012-01-01,United Kingdom,Hijacking with Misuse,Lebanon,"Non-state actor, state-affiliation suggested",Volatile Ceder,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'ASIA', 'MEA', 'MENA']"
322,2012-01-01,Turkey,Data theft,Lebanon,"Non-state actor, state-affiliation suggested",Volatile Ceder,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'ASIA', 'MEA', 'MENA']"
322,2012-01-01,Turkey,Hijacking with Misuse,Lebanon,"Non-state actor, state-affiliation suggested",Volatile Ceder,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'ASIA', 'MEA', 'MENA']"
322,2012-01-01,Israel,Data theft,Lebanon,"Non-state actor, state-affiliation suggested",Volatile Ceder,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'ASIA', 'MEA', 'MENA']"
322,2012-01-01,Israel,Hijacking with Misuse,Lebanon,"Non-state actor, state-affiliation suggested",Volatile Ceder,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'ASIA', 'MEA', 'MENA']"
322,2012-01-01,Lebanon,Data theft,Lebanon,"Non-state actor, state-affiliation suggested",Volatile Ceder,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'ASIA', 'MEA', 'MENA']"
322,2012-01-01,Lebanon,Hijacking with Misuse,Lebanon,"Non-state actor, state-affiliation suggested",Volatile Ceder,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'ASIA', 'MEA', 'MENA']"
323,2012-01-01,Belgium,Data theft,United States,State,NSA/Equation Group,"['EUROPE', 'EU(MS)', 'NATO', 'WESTEU']"
324,2012-01-01,Israel,Disruption,Pakistan,Non-state-group,Pak Cyber Pirates,"['ASIA', 'MENA', 'MEA']"
325,2012-01-01,India,Disruption,Bangladesh,Non-state-group,Bangladesh Cyber Army,"['ASIA', 'SASIA', 'SCO']"
326,2012-01-01,Taiwan,Data theft,China,Unknown - not attributed,,"['ASIA', 'SCS']"
326,2012-01-01,Taiwan,Hijacking with Misuse,China,Unknown - not attributed,,"['ASIA', 'SCS']"
327,2012-01-01,Canada,Data theft,China,State,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)","['NATO', 'NORTHAM']"
327,2012-01-01,Canada,Data theft,China,State,PLA Unit 61398,"['NATO', 'NORTHAM']"
328,2012-01-01,China,Data theft,Unknown,"Non-state actor, state-affiliation suggested",APT32/Ocean Lotus/Sea Lotus/Canvas Cyclone fka BISMUTH,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
329,2012-01-01,United States,Data theft,China,"Non-state actor, state-affiliation suggested",,"['NATO', 'NORTHAM']"
330,2012-01-01,Southeast Asia (region),Data theft,China,Unknown - not attributed,Moafee Group,"['NO_REGION', 'NATO', 'NORTHAM']"
330,2012-01-01,United States,Data theft,China,Unknown - not attributed,Moafee Group,"['NO_REGION', 'NATO', 'NORTHAM']"
331,2012-01-11,Saudi Arabia,Data theft & Doxing,Israel,Individual hacker(s),OxOmer,"['ASIA', 'MENA', 'MEA', 'GULFC']"
332,2012-01-13,Israel,Disruption,Palestine,Non-state-group,Molerats/Extreme Jackal,"['ASIA', 'MENA', 'MEA']"
332,2012-01-13,Israel,Disruption,Palestine,Non-state-group,Gaza Cybergang 1 /Hamas,"['ASIA', 'MENA', 'MEA']"
333,2012-01-16,Israel,Disruption,Saudi Arabia,Non-state-group,Nightmare(OxOmar),"['ASIA', 'MENA', 'MEA']"
334,2012-01-17,United Arab Emirates,Disruption,Israel,Non-state-group,IDF-Team,"['ASIA', 'MENA', 'MEA', 'GULFC']"
