ID,receiver_country,initiator_country,weighted_cyber_intensity,initiator_name,initiator_category,cyber_conflict_issue,receiver_region
734,Germany,Russia,1.0,Cyber Berkut,"Non-state actor, state-affiliation suggested",Unknown,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU']"
735,United States,Russia,1.0,,"Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM']"
736,Italy,Unknown,2.0,,Unknown - not attributed,Cyber-specific,"['EUROPE', 'NATO', 'EU(MS)']"
737,Canada,Unknown,1.0,Anonymous,Non-state-group,Other,"['NATO', 'NORTHAM']"
738,United Kingdom,Russia,1.0,"Fancy Bear/APT28/Sofacy/Pawn Storm/Group 74/Sednit/Tsar Team/STRONTIUM/Grizzly Steppe/SNAKEMACKEREL/IRON TWILIGHT/TG-4127/Group G0007 (GRU, 85th Main Special Service Center (GTsSS) Military Unit 26165)",State,International power,"['EUROPE', 'NATO', 'EU(MS)', 'NORTHEU']"
739,NATO (region),Unknown,1.0,Cyber Islamic State,Non-state-group,System / ideology,"['NO_REGION', 'NATO', 'NORTHAM']"
739,United States,Unknown,1.0,Cyber Islamic State,Non-state-group,System / ideology,"['NO_REGION', 'NATO', 'NORTHAM']"
740,Saudi Arabia,"Iran, Islamic Republic of",3.0,OilRig/APT34/Cobalt Gypsy/Helix Kitten/Crambus/G0049,"Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'MENA', 'MEA', 'GULFC']"
741,Taiwan,Unknown,1.0,Anonymous,Non-state-group,System / ideology,"['ASIA', 'SCS']"
742,Mexico,Mexico,1.0,Anonymous,Non-state-group,Other,['NO_REGION']
743,United States,Unknown,2.0,,Unknown - not attributed,Unknown,"['NATO', 'NORTHAM']"
744,Saudi Arabia,"Iran, Islamic Republic of",1.0,Iran Hack Security Team,Non-state-group,System / ideology,"['ASIA', 'MENA', 'MEA', 'GULFC']"
744,Saudi Arabia,"Iran, Islamic Republic of",1.0,Iran Hack Security Team,Non-state-group,National power,"['ASIA', 'MENA', 'MEA', 'GULFC']"
744,Saudi Arabia,"Iran, Islamic Republic of",1.0,Iran Hack Security Team,Non-state-group,Subnational predominance,"['ASIA', 'MENA', 'MEA', 'GULFC']"
744,Saudi Arabia,"Iran, Islamic Republic of",1.0,Mr.Xpr!,Non-state-group,System / ideology,"['ASIA', 'MENA', 'MEA', 'GULFC']"
744,Saudi Arabia,"Iran, Islamic Republic of",1.0,Mr.Xpr!,Non-state-group,National power,"['ASIA', 'MENA', 'MEA', 'GULFC']"
744,Saudi Arabia,"Iran, Islamic Republic of",1.0,Mr.Xpr!,Non-state-group,Subnational predominance,"['ASIA', 'MENA', 'MEA', 'GULFC']"
745,United Kingdom,Unknown,1.0,Lizard Squad,Non-state-group,System / ideology,"['EUROPE', 'NATO', 'EU(MS)', 'NORTHEU']"
745,United Kingdom,Unknown,1.0,Lizard Squad,Non-state-group,Cyber-specific,"['EUROPE', 'NATO', 'EU(MS)', 'NORTHEU']"
746,Afghanistan,Germany,2.0,Cyber-Kommando Bundeswehr,State,Other,"['ASIA', 'SASIA']"
747,France,Russia,3.0,"Fancy Bear/APT28/Sofacy/Pawn Storm/Group 74/Sednit/Tsar Team/STRONTIUM/Grizzly Steppe/SNAKEMACKEREL/IRON TWILIGHT/TG-4127/Group G0007 (GRU, 85th Main Special Service Center (GTsSS) Military Unit 26165)","Non-state actor, state-affiliation suggested",System / ideology,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU']"
748,India,Yemen,1.0,Yemeni Electronic Army,Non-state-group,Unknown,"['ASIA', 'SASIA', 'SCO']"
749,Vietnam,Unknown,1.0,Anti Sec,Non-state-group,System / ideology,"['ASIA', 'SCS', 'SEA']"
749,Vietnam,Unknown,1.0,Anti Sec,Non-state-group,Cyber-specific,"['ASIA', 'SCS', 'SEA']"
749,Vietnam,Unknown,1.0,Hagash Team,Non-state-group,System / ideology,"['ASIA', 'SCS', 'SEA']"
749,Vietnam,Unknown,1.0,Hagash Team,Non-state-group,Cyber-specific,"['ASIA', 'SCS', 'SEA']"
750,India,Pakistan,1.0,Team Pak,Non-state-group,System / ideology,"['ASIA', 'SASIA', 'SCO']"
750,India,Pakistan,1.0,Team Pak,Non-state-group,Territory,"['ASIA', 'SASIA', 'SCO']"
751,Pakistan,India,1.0,Mallu Cyber Soldiers,Non-state-group,System / ideology,"['ASIA', 'SASIA', 'SCO']"
751,Pakistan,India,1.0,Mallu Cyber Soldiers,Non-state-group,Territory,"['ASIA', 'SASIA', 'SCO']"
752,Philippines,"Korea, Democratic People's Republic of",2.0,"Lazarus Group/Labyrinth Chollima/HIDDEN COBRA/Guardians of Peace/ZINC/NICKEL ACADEMY/NewRomanic Cyber Army Team/Whois Hacking Team/Appleworm/Group 77/G0032 (Reconnaissance General Bureau, Bureau 121, Unit 180, Lab 110)",State,Resources,"['ASIA', 'SCS', 'SEA']"
752,Philippines,"Korea, Democratic People's Republic of",2.0,Reconnaissance General Bureau,State,Resources,"['ASIA', 'SCS', 'SEA']"
753,"Korea, Republic of","Korea, Democratic People's Republic of",2.0,,Unknown - not attributed,International power,"['ASIA', 'SCS', 'NEA']"
754,China,Unknown,1.0,Anonymous,Non-state-group,System / ideology,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
755,Hong Kong,China,3.0,,State,System / ideology,['ASIA']
756,United States,"Iran, Islamic Republic of",1.0,,"Non-state actor, state-affiliation suggested",International power,"['NATO', 'NORTHAM']"
757,Thailand,Thailand,1.0,Anonymous,Non-state-group,Cyber-specific,"['ASIA', 'SEA']"
758,United Kingdom,United Kingdom,2.0,,Non-state-group,Unknown,"['EUROPE', 'NATO', 'EU(MS)', 'NORTHEU']"
759,Myanmar,China,3.0,Group27,Unknown - not attributed,Unknown,"['ASIA', 'SEA']"
760,Pakistan,India,1.0,Bl@ckDr@gon,Non-state-group,System / ideology,"['ASIA', 'SASIA', 'SCO']"
760,Pakistan,India,1.0,Bl@ckDr@gon,Non-state-group,Territory,"['ASIA', 'SASIA', 'SCO']"
761,China,Unknown,1.0,Anonymous,Non-state-group,System / ideology,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
761,China,Unknown,1.0,Antisec Division,Non-state-group,System / ideology,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
762,Taiwan,China,1.0,APT 16,"Non-state actor, state-affiliation suggested",System / ideology,"['ASIA', 'SCS']"
762,Taiwan,China,1.0,APT 16,"Non-state actor, state-affiliation suggested",Secession,"['ASIA', 'SCS']"
763,Thailand,Unknown,1.0,Anonymous,Non-state-group,Cyber-specific,"['ASIA', 'SEA']"
764,Israel,"Iran, Islamic Republic of",3.0,,State,System / ideology,"['ASIA', 'MENA', 'MEA']"
765,China,India,3.0,Patchwork/Dropping Elephant,Unknown - not attributed,Unknown,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO', 'SASIA', 'NATO', 'NORTHAM', 'SOUTHAM', 'OC']"
765,China,India,3.0,China strats aka Patchwork,Unknown - not attributed,Unknown,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO', 'SASIA', 'NATO', 'NORTHAM', 'SOUTHAM', 'OC']"
765,Pakistan,India,3.0,Patchwork/Dropping Elephant,Unknown - not attributed,Unknown,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO', 'SASIA', 'NATO', 'NORTHAM', 'SOUTHAM', 'OC']"
765,Pakistan,India,3.0,China strats aka Patchwork,Unknown - not attributed,Unknown,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO', 'SASIA', 'NATO', 'NORTHAM', 'SOUTHAM', 'OC']"
765,Sri Lanka,India,3.0,Patchwork/Dropping Elephant,Unknown - not attributed,Unknown,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO', 'SASIA', 'NATO', 'NORTHAM', 'SOUTHAM', 'OC']"
765,Sri Lanka,India,3.0,China strats aka Patchwork,Unknown - not attributed,Unknown,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO', 'SASIA', 'NATO', 'NORTHAM', 'SOUTHAM', 'OC']"
