ID,start_date,attribution_ID,attribution_date,attribution_basis_clean,receiver_country,initiator_country,incident_type,receiver_region
25,2006-01-01,32,2011-01-01,Attribution by third-party,Canada,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,32,2011-01-01,Attribution by third-party,"Korea, Republic of",China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,32,2011-01-01,Attribution by third-party,Taiwan,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,32,2011-01-01,Attribution by third-party,Vietnam,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,32,2011-01-01,Attribution by third-party,Germany,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,32,2011-01-01,Attribution by third-party,India,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,32,2011-01-01,Attribution by third-party,Japan,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,2006-01-01,32,2011-01-01,Attribution by third-party,United Kingdom,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
26,2006-01-01,13892,2018-01-01,Political attribution,Canada,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,13892,2018-01-01,Political attribution,Japan,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,13892,2018-01-01,Political attribution,Switzerland,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,13892,2018-01-01,Political attribution,India,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,13892,2018-01-01,Political attribution,Germany,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,13892,2018-01-01,Political attribution,United Arab Emirates,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,13892,2018-01-01,Political attribution,Brazil,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,13892,2018-01-01,Political attribution,United States,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,13892,2018-01-01,Political attribution,United Kingdom,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,13892,2018-01-01,Political attribution,France,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,13891,2018-01-01,Attribution by third-party,Canada,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,13891,2018-01-01,Attribution by third-party,Japan,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,13891,2018-01-01,Attribution by third-party,Switzerland,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,13891,2018-01-01,Attribution by third-party,India,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,13891,2018-01-01,Attribution by third-party,Germany,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,13891,2018-01-01,Attribution by third-party,United Arab Emirates,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,13891,2018-01-01,Attribution by third-party,Brazil,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,13891,2018-01-01,Attribution by third-party,United States,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,13891,2018-01-01,Attribution by third-party,United Kingdom,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
26,2006-01-01,13891,2018-01-01,Attribution by third-party,France,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'EUROPE', 'WESTEU', 'SASIA', 'SCO', 'EU(MS)', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NORTHEU']"
27,2006-01-01,36,2013-01-01,Attribution by third-party,Belgium,United States,Data theft,"['EUROPE', 'EU(MS)', 'NATO', 'WESTEU']"
27,2006-01-01,37,2013-01-01,Media-based attribution,Belgium,United States,Data theft,"['EUROPE', 'EU(MS)', 'NATO', 'WESTEU']"
28,2006-03-01,38,,Attacker confirms,Denmark,Unknown,Disruption,"['EUROPE', 'NATO', 'EU(MS)', 'NORTHEU']"
29,2006-06-01,40,,Attribution by third-party,United States,China,Data theft,"['NATO', 'NORTHAM']"
29,2006-06-01,40,,Attribution by third-party,United States,China,Hijacking without Misuse,"['NATO', 'NORTHAM']"
29,2006-06-01,39,,Media-based attribution,United States,China,Data theft,"['NATO', 'NORTHAM']"
29,2006-06-01,39,,Media-based attribution,United States,China,Hijacking without Misuse,"['NATO', 'NORTHAM']"
30,2006-06-08,8667,2008-01-01,Media-based attribution,Germany,Germany,Data theft,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA']"
30,2006-06-08,8667,2008-01-01,Media-based attribution,Afghanistan,Germany,Data theft,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA']"
31,2006-08-01,42,2008-01-01,Political attribution,United States,China,Data theft,"['NATO', 'NORTHAM']"
32,2006-08-01,44,2006-01-01,Political attribution,United States,China,Hijacking without Misuse,"['NATO', 'NORTHAM']"
32,2006-08-01,43,2006-01-01,Industry attribution,United States,China,Hijacking without Misuse,"['NATO', 'NORTHAM']"
33,2006-11-15,45,2006-01-01,Media-based attribution,United States,China,Data theft,"['NATO', 'NORTHAM']"
33,2006-11-15,45,2006-01-01,Media-based attribution,United States,China,Disruption,"['NATO', 'NORTHAM']"
34,2006-01-01,13896,2013-01-01,Political attribution,United States,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SASIA', 'SCO', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NORTHEU', 'NEA', 'MENA', 'MEA']"
34,2006-01-01,13896,2013-01-01,Political attribution,United States,China,Hijacking with Misuse,"['NATO', 'NORTHAM', 'ASIA', 'SASIA', 'SCO', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NORTHEU', 'NEA', 'MENA', 'MEA']"
34,2006-01-01,13896,2013-01-01,Political attribution,India,China,Data theft,"['NATO', 'NORTHAM', 'ASIA', 'SASIA', 'SCO', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NORTHEU', 'NEA', 'MENA', 'MEA']"
34,2006-01-01,13896,2013-01-01,Political attribution,India,China,Hijacking with Misuse,"['NATO', 'NORTHAM', 'ASIA', 'SASIA', 'SCO', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NORTHEU', 'NEA', 'MENA', 'MEA']"
