ID,incident_type,weighted_cyber_intensity,start_date,year,month,receiver_country,initiator_country,receiver_region
2503,Data theft & Doxing,3.0,2023-08-13,2023.0,8.0,United States,Not available,"['NATO', 'NORTHAM']"
2503,Hijacking with Misuse,3.0,2023-08-13,2023.0,8.0,United States,Not available,"['NATO', 'NORTHAM']"
2504,Hijacking with Misuse,2.0,2018-01-01,2018.0,1.0,United States,Not available,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)']"
2504,Hijacking with Misuse,2.0,2018-01-01,2018.0,1.0,Italy,Not available,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)']"
2506,Data theft,3.0,2023-07-25,2023.0,7.0,United Arab Emirates,Not available,"['ASIA', 'MENA', 'MEA', 'GULFC']"
2506,Disruption,3.0,2023-07-25,2023.0,7.0,United Arab Emirates,Not available,"['ASIA', 'MENA', 'MEA', 'GULFC']"
2506,Hijacking with Misuse,3.0,2023-07-25,2023.0,7.0,United Arab Emirates,Not available,"['ASIA', 'MENA', 'MEA', 'GULFC']"
2506,Ransomware,3.0,2023-07-25,2023.0,7.0,United Arab Emirates,Not available,"['ASIA', 'MENA', 'MEA', 'GULFC']"
2508,Disruption,4.0,2023-08-01,2023.0,8.0,United States,Not available,"['NATO', 'NORTHAM']"
2508,Hijacking with Misuse,4.0,2023-08-01,2023.0,8.0,United States,Not available,"['NATO', 'NORTHAM']"
2509,Data theft,4.0,2023-06-01,2023.0,6.0,United States,Not available,"['NATO', 'NORTHAM']"
2509,Hijacking with Misuse,4.0,2023-06-01,2023.0,6.0,United States,Not available,"['NATO', 'NORTHAM']"
2510,Disruption,4.0,2023-08-15,2023.0,8.0,United States,Not available,"['NATO', 'NORTHAM']"
2510,Hijacking with Misuse,4.0,2023-08-15,2023.0,8.0,United States,Not available,"['NATO', 'NORTHAM']"
2510,Ransomware,4.0,2023-08-15,2023.0,8.0,United States,Not available,"['NATO', 'NORTHAM']"
2511,Hijacking without Misuse,1.0,2023-06-01,2023.0,6.0,South America,Russia,"['NO_REGION', 'NATO', 'NORTHAM']"
2511,Hijacking without Misuse,1.0,2023-06-01,2023.0,6.0,United States,Russia,"['NO_REGION', 'NATO', 'NORTHAM']"
2511,Ransomware,1.0,2023-06-01,2023.0,6.0,South America,Russia,"['NO_REGION', 'NATO', 'NORTHAM']"
2511,Ransomware,1.0,2023-06-01,2023.0,6.0,United States,Russia,"['NO_REGION', 'NATO', 'NORTHAM']"
2513,Data theft,5.0,2022-06-01,2022.0,6.0,Australia,Not available,"['OC', 'NO_REGION', 'EUROPE', 'NATO', 'NORTHEU', 'EU(MS)', 'NORTHAM']"
2513,Data theft,5.0,2022-06-01,2022.0,6.0,Not available,Not available,"['OC', 'NO_REGION', 'EUROPE', 'NATO', 'NORTHEU', 'EU(MS)', 'NORTHAM']"
2513,Data theft,5.0,2022-06-01,2022.0,6.0,United Kingdom,Not available,"['OC', 'NO_REGION', 'EUROPE', 'NATO', 'NORTHEU', 'EU(MS)', 'NORTHAM']"
2513,Data theft,5.0,2022-06-01,2022.0,6.0,Italy,Not available,"['OC', 'NO_REGION', 'EUROPE', 'NATO', 'NORTHEU', 'EU(MS)', 'NORTHAM']"
2513,Data theft,5.0,2022-06-01,2022.0,6.0,United States,Not available,"['OC', 'NO_REGION', 'EUROPE', 'NATO', 'NORTHEU', 'EU(MS)', 'NORTHAM']"
2513,Disruption,5.0,2022-06-01,2022.0,6.0,Australia,Not available,"['OC', 'NO_REGION', 'EUROPE', 'NATO', 'NORTHEU', 'EU(MS)', 'NORTHAM']"
2513,Disruption,5.0,2022-06-01,2022.0,6.0,Not available,Not available,"['OC', 'NO_REGION', 'EUROPE', 'NATO', 'NORTHEU', 'EU(MS)', 'NORTHAM']"
2513,Disruption,5.0,2022-06-01,2022.0,6.0,United Kingdom,Not available,"['OC', 'NO_REGION', 'EUROPE', 'NATO', 'NORTHEU', 'EU(MS)', 'NORTHAM']"
2513,Disruption,5.0,2022-06-01,2022.0,6.0,Italy,Not available,"['OC', 'NO_REGION', 'EUROPE', 'NATO', 'NORTHEU', 'EU(MS)', 'NORTHAM']"
2513,Disruption,5.0,2022-06-01,2022.0,6.0,United States,Not available,"['OC', 'NO_REGION', 'EUROPE', 'NATO', 'NORTHEU', 'EU(MS)', 'NORTHAM']"
2513,Hijacking with Misuse,5.0,2022-06-01,2022.0,6.0,Australia,Not available,"['OC', 'NO_REGION', 'EUROPE', 'NATO', 'NORTHEU', 'EU(MS)', 'NORTHAM']"
