ID,start_date,industry_date,political_date,attacker_date,third_party_date,other_date,date_difference_ind,date_difference_pol,date_difference_att,date_difference_third,date_difference_other,date_difference_ind_months,date_difference_pol_months,date_difference_att_months,date_difference_third_months,date_difference_other_months,average_overall,receiver_country,initiator_country,incident_type,receiver_region
162,2011-01-01,2017-01-01,,,,,2192,,,,,73.1,,,,,73.1,China,United States,Data theft,"['NO_REGION', 'ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
162,2011-01-01,2017-01-01,,,,,2192,,,,,73.1,,,,,73.1,China,United States,Hijacking with Misuse,"['NO_REGION', 'ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
163,2011-01-01,2014-07-07,2022-03-24,,,,1283,4100,,,,42.8,136.7,,,,136.7,United States,Russia,Data theft,"['NATO', 'NORTHAM']"
163,2011-01-01,2014-07-07,2022-03-24,,,,1283,4100,,,,42.8,136.7,,,,136.7,United States,Russia,Hijacking with Misuse,"['NATO', 'NORTHAM']"
163,2011-01-01,2014-07-07,2022-03-24,,,,1283,4100,,,,42.8,136.7,,,,136.7,Canada,Russia,Data theft,"['NATO', 'NORTHAM']"
163,2011-01-01,2014-07-07,2022-03-24,,,,1283,4100,,,,42.8,136.7,,,,136.7,Canada,Russia,Hijacking with Misuse,"['NATO', 'NORTHAM']"
164,2011-01-01,,,,2011-01-01,,,,,0,,,,,0.0,,0.0,Tunisia,Tunisia,Data theft,"['AFRICA', 'NAF', 'MENA']"
165,2011-01-01,2018-01-01,,,,,2557,,,,,85.2,,,,,85.2,Global (region),China,Data theft,['NO_REGION']
166,2011-01-01,2018-01-01,2018-01-01,,,,2557,2557,,,,85.2,85.2,,,,85.2,"Korea, Republic of",China,Data theft,"['ASIA', 'SCS', 'NEA']"
167,2011-01-01,,2017-05-09,,2017-05-09,,,2320,,2320,,,77.3,,77.3,,77.3,United States,China,Data theft,"['NATO', 'NORTHAM']"
168,2011-01-01,,,,2013-01-01,,,,,731,,,,,24.4,,24.4,United States,"Iran, Islamic Republic of",Data theft,"['NATO', 'NORTHAM', 'NO_REGION']"
168,2011-01-01,,,,2013-01-01,,,,,731,,,,,24.4,,24.4,Canada,"Iran, Islamic Republic of",Data theft,"['NATO', 'NORTHAM', 'NO_REGION']"
168,2011-01-01,,,,2013-01-01,,,,,731,,,,,24.4,,24.4,Europe (region),"Iran, Islamic Republic of",Data theft,"['NATO', 'NORTHAM', 'NO_REGION']"
168,2011-01-01,,,,2013-01-01,,,,,731,,,,,24.4,,24.4,Mena Region (region),"Iran, Islamic Republic of",Data theft,"['NATO', 'NORTHAM', 'NO_REGION']"
169,2011-01-01,,,,,,,,,,,,,,,,,Taiwan,Unknown,Data theft,"['ASIA', 'SCS', 'NEA']"
169,2011-01-01,,,,,,,,,,,,,,,,,Taiwan,Unknown,Hijacking with Misuse,"['ASIA', 'SCS', 'NEA']"
169,2011-01-01,,,,,,,,,,,,,,,,,"Korea, Republic of",Unknown,Data theft,"['ASIA', 'SCS', 'NEA']"
169,2011-01-01,,,,,,,,,,,,,,,,,"Korea, Republic of",Unknown,Hijacking with Misuse,"['ASIA', 'SCS', 'NEA']"
169,2011-01-01,,,,,,,,,,,,,,,,,Japan,Unknown,Data theft,"['ASIA', 'SCS', 'NEA']"
169,2011-01-01,,,,,,,,,,,,,,,,,Japan,Unknown,Hijacking with Misuse,"['ASIA', 'SCS', 'NEA']"
170,2011-01-01,,2014-01-01,,,,,1096,,,,,36.5,,,,36.5,United States,Russia,Hijacking without Misuse,"['NATO', 'NORTHAM']"
171,2011-12-01,2012-01-01,2012-01-01,,,,31,31,,,,1.0,1.0,,,,1.0,United States,"Iran, Islamic Republic of",Disruption,"['NATO', 'NORTHAM']"
171,2011-12-01,2012-01-01,2012-01-01,,,,31,31,,,,1.0,1.0,,,,1.0,United States,"Iran, Islamic Republic of",Hijacking without Misuse,"['NATO', 'NORTHAM']"
172,2011-01-01,,,,2013-01-01,2013-01-01,,,,731,731,,,,24.4,24.4,24.4,Unknown,United Kingdom,Disruption,['NO_REGION']
173,2011-01-01,,,,,,,,,,,,,,,,,Australia,Unknown,Data theft,['OC']
174,2011-01-01,2014-01-01,,,,,1096,,,,,36.5,,,,,36.5,Saudi Arabia,"Iran, Islamic Republic of",Data theft,"['ASIA', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'SASIA', 'AFRICA', 'NAF']"
174,2011-01-01,2014-01-01,,,,,1096,,,,,36.5,,,,,36.5,Saudi Arabia,"Iran, Islamic Republic of",Hijacking with Misuse,"['ASIA', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'SASIA', 'AFRICA', 'NAF']"
174,2011-01-01,2014-01-01,,,,,1096,,,,,36.5,,,,,36.5,Israel,"Iran, Islamic Republic of",Data theft,"['ASIA', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'SASIA', 'AFRICA', 'NAF']"
174,2011-01-01,2014-01-01,,,,,1096,,,,,36.5,,,,,36.5,Israel,"Iran, Islamic Republic of",Hijacking with Misuse,"['ASIA', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'SASIA', 'AFRICA', 'NAF']"
174,2011-01-01,2014-01-01,,,,,1096,,,,,36.5,,,,,36.5,Yemen,"Iran, Islamic Republic of",Data theft,"['ASIA', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'SASIA', 'AFRICA', 'NAF']"
174,2011-01-01,2014-01-01,,,,,1096,,,,,36.5,,,,,36.5,Yemen,"Iran, Islamic Republic of",Hijacking with Misuse,"['ASIA', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'SASIA', 'AFRICA', 'NAF']"
174,2011-01-01,2014-01-01,,,,,1096,,,,,36.5,,,,,36.5,Venezuela,"Iran, Islamic Republic of",Data theft,"['ASIA', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'SASIA', 'AFRICA', 'NAF']"
174,2011-01-01,2014-01-01,,,,,1096,,,,,36.5,,,,,36.5,Venezuela,"Iran, Islamic Republic of",Hijacking with Misuse,"['ASIA', 'MENA', 'MEA', 'GULFC', 'SOUTHAM', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'SASIA', 'AFRICA', 'NAF']"
